VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.915928, 0.000000, 0.000000, 1655648213.391006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.920131, 0.000000, 0.000000, 1655648213.419004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.924125, 0.000000, 0.000000, 1655648213.445007
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.927919, 0.000000, 0.000000, 1655648213.473005
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.931523, 0.000000, 0.000000, 1655648213.499003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.934946, 0.000000, 0.000000, 1655648213.527006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.938199, 0.000000, 0.000000, 1655648213.553008
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.941289, 0.000000, 0.000000, 1655648213.582007
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.944225, 0.000000, 0.000000, 1655648213.609467
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.947013, 0.000000, 0.000000, 1655648213.637007
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.949663, 0.000000, 0.000000, 1655648213.663004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.952180, 0.000000, 0.000000, 1655648213.692005
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.954571, 0.000000, 0.000000, 1655648213.718003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.956842, 0.000000, 0.000000, 1655648213.745004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.959000, 0.000000, 0.000000, 1655648213.771007
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.961050, 0.000000, 0.000000, 1655648213.800003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.962998, 0.000000, 0.000000, 1655648213.826002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.964848, 0.000000, 0.000000, 1655648213.853003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.966605, 0.000000, 0.000000, 1655648213.879002
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.968275, 0.000000, 0.000000, 1655648213.907004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.969861, 0.000000, 0.000000, 1655648213.933003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.971368, 0.000000, 0.000000, 1655648213.961004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.972800, 0.000000, 0.000000, 1655648213.987004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.974160, 0.000000, 0.000000, 1655648214.014006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.975452, 0.000000, 0.000000, 1655648214.040006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.976679, 0.000000, 0.000000, 1655648214.083975
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.977845, 0.000000, 0.000000, 1655648214.110004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.978953, 0.000000, 0.000000, 1655648214.140003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.980005, 0.000000, 0.000000, 1655648214.166004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.981005, 0.000000, 0.000000, 1655648214.201279
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.981955, 0.000000, 0.000000, 1655648214.227004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.982857, 0.000000, 0.000000, 1655648214.258004
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.983714, 0.000000, 0.000000, 1655648214.284003
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.984529, 0.000000, 0.000000, 1655648214.313006
VELOCITY (st, cv, dv, e, t, b, i, d, ts): 0, 0.000000, 0.000000, 0.000000, 0.000000, 89.985302, 0.000000, 0.000000, 1655648214.339005
